scheme,kind,depth,run,verify_time_ms,peak_mem_bytes,proof_size_bytes,host
nova,folding,8,0,260.582427,33472512,9872,arm
nova,folding,8,1,260.840963,33472512,9872,arm
nova,folding,8,2,260.42975,33472512,9872,arm
nova,folding,8,3,260.594067,33472512,9872,arm
nova,folding,8,4,260.766337,33472512,9872,arm
nova,folding,8,5,260.68211,33472512,9872,arm
nova,folding,8,6,260.465175,33472512,9872,arm
nova,folding,8,7,260.665869,33472512,9872,arm
nova,folding,8,8,261.185565,33472512,9872,arm
nova,folding,8,9,260.72862299999997,33472512,9872,arm
nova,folding,8,10,260.35386700000004,33472512,9872,arm
nova,folding,8,11,260.840627,33472512,9872,arm
nova,folding,8,12,260.87688399999996,33472512,9872,arm
nova,folding,8,13,260.506264,33472512,9872,arm
nova,folding,8,14,260.53592100000003,33472512,9872,arm
nova,folding,8,15,260.653325,33472512,9872,arm
nova,folding,8,16,260.816003,33472512,9872,arm
nova,folding,8,17,260.90218500000003,33472512,9872,arm
nova,folding,8,18,261.066008,33472512,9872,arm
nova,folding,8,19,261.047095,33472512,9872,arm
nova,folding,8,20,261.277558,33472512,9872,arm
nova,folding,8,21,260.642098,33472512,9872,arm
nova,folding,8,22,260.587969,33472512,9872,arm
nova,folding,8,23,260.782415,33472512,9872,arm
nova,folding,8,24,261.239141,33472512,9872,arm
nova,folding,8,25,260.35952899999995,33472512,9872,arm
nova,folding,8,26,260.651723,33472512,9872,arm
nova,folding,8,27,260.67675499999996,33472512,9872,arm
nova,folding,8,28,260.648282,33472512,9872,arm
nova,folding,8,29,260.195932,33472512,9872,arm
nova,folding,8,30,260.564248,33472512,9872,arm
nova,folding,8,31,260.75327,33472512,9872,arm
nova,folding,8,32,260.53491099999997,33472512,9872,arm
nova,folding,8,33,260.617002,33472512,9872,arm
nova,folding,8,34,261.030759,33472512,9872,arm
nova,folding,8,35,260.474957,33472512,9872,arm
nova,folding,8,36,260.61413799999997,33472512,9872,arm
nova,folding,8,37,260.731221,33472512,9872,arm
nova,folding,8,38,260.636906,33472512,9872,arm
nova,folding,8,39,260.869874,33472512,9872,arm
nova,folding,8,40,260.327601,33472512,9872,arm
nova,folding,8,41,260.83708,33472512,9872,arm
nova,folding,8,42,260.893019,33472512,9872,arm
nova,folding,8,43,260.687692,33472512,9872,arm
nova,folding,8,44,260.654779,33472512,9872,arm
nova,folding,8,45,260.606921,33472512,9872,arm
nova,folding,8,46,261.395314,33472512,9872,arm
nova,folding,8,47,260.837329,33472512,9872,arm
nova,folding,8,48,260.163921,33472512,9872,arm
nova,folding,8,49,260.374536,33472512,9872,arm
nova,folding,8,50,260.546213,33472512,9872,arm
nova,folding,8,51,260.57784699999996,33472512,9872,arm
nova,folding,8,52,260.19321,33472512,9872,arm
nova,folding,8,53,260.70548199999996,33472512,9872,arm
nova,folding,8,54,260.719522,33472512,9872,arm
nova,folding,8,55,260.705842,33472512,9872,arm
nova,folding,8,56,260.395609,33472512,9872,arm
nova,folding,8,57,260.49050800000003,33472512,9872,arm
nova,folding,8,58,260.97449900000004,33472512,9872,arm
nova,folding,8,59,260.197451,33472512,9872,arm
nova,folding,8,60,260.315502,33472512,9872,arm
nova,folding,8,61,260.61039200000005,33472512,9872,arm
nova,folding,8,62,260.914033,33472512,9872,arm
nova,folding,8,63,260.540485,33472512,9872,arm
nova,folding,8,64,260.720346,33472512,9872,arm
nova,folding,8,65,260.79267699999997,33472512,9872,arm
nova,folding,8,66,260.53859,33472512,9872,arm
nova,folding,8,67,260.314206,33472512,9872,arm
nova,folding,8,68,260.519116,33472512,9872,arm
nova,folding,8,69,260.739244,33472512,9872,arm
nova,folding,8,70,260.655009,33472512,9872,arm
nova,folding,8,71,260.35704799999996,33472512,9872,arm
nova,folding,8,72,261.03251700000004,33472512,9872,arm
nova,folding,8,73,260.586143,33472512,9872,arm
nova,folding,8,74,260.278157,33472512,9872,arm
nova,folding,8,75,260.291862,33472512,9872,arm
nova,folding,8,76,260.649689,33472512,9872,arm
nova,folding,8,77,260.536005,33472512,9872,arm
nova,folding,8,78,260.406971,33472512,9872,arm
nova,folding,8,79,260.41297299999997,33472512,9872,arm
nova,folding,8,80,260.42662900000005,33472512,9872,arm
nova,folding,8,81,260.742703,33472512,9872,arm
nova,folding,8,82,260.65486,33472512,9872,arm
nova,folding,8,83,260.663037,33472512,9872,arm
nova,folding,8,84,260.801785,33472512,9872,arm
nova,folding,8,85,260.91476400000005,33472512,9872,arm
nova,folding,8,86,260.374964,33472512,9872,arm
nova,folding,8,87,260.624931,33472512,9872,arm
nova,folding,8,88,260.693917,33472512,9872,arm
nova,folding,8,89,260.559337,33472512,9872,arm
nova,folding,8,90,260.364308,33472512,9872,arm
nova,folding,8,91,260.349491,33472512,9872,arm
nova,folding,8,92,260.315442,33472512,9872,arm
nova,folding,8,93,260.540345,33472512,9872,arm
nova,folding,8,94,260.73074299999996,33472512,9872,arm
nova,folding,8,95,260.67332500000003,33472512,9872,arm
nova,folding,8,96,260.552177,33472512,9872,arm
nova,folding,8,97,260.807761,33472512,9872,arm
nova,folding,8,98,260.71596600000004,33472512,9872,arm
nova,folding,8,99,260.60905099999997,33472512,9872,arm
nova,folding,8,100,261.223614,33472512,9872,arm
nova,folding,8,101,260.77208,33472512,9872,arm
nova,folding,8,102,260.372044,33472512,9872,arm
nova,folding,8,103,260.817026,33472512,9872,arm
nova,folding,8,104,260.65926099999996,33472512,9872,arm
nova,folding,8,105,260.540689,33472512,9872,arm
nova,folding,8,106,260.771616,33472512,9872,arm
nova,folding,8,107,260.553298,33472512,9872,arm
nova,folding,8,108,260.436717,33472512,9872,arm
nova,folding,8,109,260.258,33472512,9872,arm
nova,folding,8,110,260.777429,33472512,9872,arm
nova,folding,8,111,260.82415,33472512,9872,arm
nova,folding,8,112,260.54131800000005,33472512,9872,arm
nova,folding,8,113,260.322095,33472512,9872,arm
nova,folding,8,114,260.445963,33472512,9872,arm
nova,folding,8,115,260.424378,33472512,9872,arm
nova,folding,8,116,260.688018,33472512,9872,arm
nova,folding,8,117,260.486844,33472512,9872,arm
nova,folding,8,118,260.52929400000005,33472512,9872,arm
nova,folding,8,119,260.76723699999997,33472512,9872,arm
nova,folding,8,120,260.686658,33472512,9872,arm
nova,folding,8,121,260.523149,33472512,9872,arm
