scheme,kind,depth,run,verify_time_ms,peak_mem_bytes,proof_size_bytes,host
plonky2,recursive,8,0,4.561592,3280896,127208,arm
plonky2,recursive,8,1,4.579056,3346432,127208,arm
plonky2,recursive,8,2,4.581904000000001,3350528,127208,arm
plonky2,recursive,8,3,4.582528,3350528,127208,arm
plonky2,recursive,8,4,4.569927,3350528,127208,arm
plonky2,recursive,8,5,4.563112,3350528,127208,arm
plonky2,recursive,8,6,4.573048,3350528,127208,arm
plonky2,recursive,8,7,4.571816,3350528,127208,arm
plonky2,recursive,8,8,4.57712,3350528,127208,arm
plonky2,recursive,8,9,4.568231,3350528,127208,arm
plonky2,recursive,8,10,4.56588,3350528,127208,arm
plonky2,recursive,8,11,4.620386,3350528,127208,arm
plonky2,recursive,8,12,4.573472000000001,3350528,127208,arm
plonky2,recursive,8,13,4.563815,3350528,127208,arm
plonky2,recursive,8,14,4.567832,3350528,127208,arm
plonky2,recursive,8,15,4.560592,3350528,127208,arm
plonky2,recursive,8,16,4.586888,3350528,127208,arm
plonky2,recursive,8,17,4.5674399999999995,3350528,127208,arm
plonky2,recursive,8,18,4.581145,3350528,127208,arm
plonky2,recursive,8,19,4.581024,3350528,127208,arm
plonky2,recursive,8,20,4.56816,3350528,127208,arm
plonky2,recursive,8,21,4.580344,3350528,127208,arm
plonky2,recursive,8,22,4.572944,3350528,127208,arm
plonky2,recursive,8,23,4.581601,3350528,127208,arm
plonky2,recursive,8,24,4.5615760000000005,3350528,127208,arm
plonky2,recursive,8,25,4.566224,3350528,127208,arm
plonky2,recursive,8,26,4.574656,3350528,127208,arm
plonky2,recursive,8,27,4.563616000000001,3350528,127208,arm
plonky2,recursive,8,28,4.575104,3350528,127208,arm
plonky2,recursive,8,29,4.568512,3350528,127208,arm
plonky2,recursive,8,30,4.569464,3350528,127208,arm
plonky2,recursive,8,31,4.579401000000001,3350528,127208,arm
plonky2,recursive,8,32,4.570264,3350528,127208,arm
plonky2,recursive,8,33,4.57636,3350528,127208,arm
plonky2,recursive,8,34,4.570688,3350528,127208,arm
plonky2,recursive,8,35,4.575824,3350528,127208,arm
